
 ┌───────────────────────────────────────────────────┐ 
 │                 ESTELAR.SU Store                  │ 
 │                   Fiber v2.52.6                   │ 
 │               http://127.0.0.1:8080               │ 
 │       (bound on host 0.0.0.0 and port 8080)       │ 
 │                                                   │ 
 │ Handlers ............ 53  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID .............. 7324 │ 
 └───────────────────────────────────────────────────┘ 

2026-04-24 20:29:26 | 200 |     24.9132ms | 127.0.0.1 | GET | /admin | -
2026-04-24 20:29:26 | 200 |     24.9132ms | 127.0.0.1 | GET | /rules | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | / | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /contacts | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:29:26 | 202 |      7.9593ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:29:26 | 200 |      1.5175ms | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:29:26 | 202 |      15.108ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:29:26 | 200 |      1.0154ms | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:29:26 | 202 |      7.3209ms | 127.0.0.1 | POST | /api/v1/analytics/visit | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/catalog | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /api/v1/meta | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:29:26 | 200 |            0s | 127.0.0.1 | GET | /favicon.ico | -
2026-04-24 20:34:55 | 200 |            0s | 127.0.0.1 | GET | /contacts | -
2026-04-24 20:34:55 | 200 |            0s | 127.0.0.1 | GET | /rules | -
2026-04-24 20:34:55 | 200 |            0s | 127.0.0.1 | GET | / | -
